City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Palmer,US,2022-06-27 12:45:06,42.1584,-72.3287,72.25,75,100,10.36
160,Kysyl-Syr,RU,2022-06-27 12:45:07,63.8986,122.7617,58.73,96,100,8.5
161,Boditi,ET,2022-06-27 12:45:07,6.9667,37.8667,69.35,55,100,9.1
162,Wufeng,CN,2022-06-27 12:45:08,27.45,104.8333,61.95,88,100,2.73
163,Nome,US,2022-06-27 12:45:09,64.5011,-165.4064,48.27,93,100,9.22
164,Bonavista,CA,2022-06-27 12:45:09,48.6499,-53.1147,58.77,81,100,13.71
165,Saldanha,ZA,2022-06-27 12:45:09,-33.0117,17.9442,82.45,46,0,9.91
166,Porto Novo,BJ,2022-06-27 12:45:10,6.4965,2.6036,84.02,81,100,6.58
167,Notse,TG,2022-06-27 12:45:10,6.95,1.1667,85.42,63,100,0.31
168,Kozulka,UA,2022-06-27 12:45:11,50.0351,23.797,80.28,47,92,9.89
169,Sao Miguel Do Araguaia,BR,2022-06-27 12:45:11,-13.275,-50.1628,83.03,27,2,5.3
170,Mayo,US,2022-06-27 12:45:12,38.8876,-76.5119,78.19,83,75,4.61
171,Hobart,AU,2022-06-27 12:45:12,-42.8794,147.3294,46.06,78,0,9.22
172,Ribeira Grande,PT,2022-06-27 12:45:12,38.5167,-28.7,68.4,77,75,4.61
173,Volkach,DE,2022-06-27 12:45:13,49.8667,10.2333,77.72,69,100,1.01
174,Barra Patuca,HN,2022-06-27 12:45:13,15.8,-84.2833,79.38,83,73,3.24
175,Iskateley,RU,2022-06-27 12:45:13,67.6803,53.1512,42.62,65,100,20.31
176,Cidreira,BR,2022-06-27 12:45:14,-30.1811,-50.2056,60.51,82,100,12.64
177,Port Hardy,CA,2022-06-27 12:42:17,50.6996,-127.4199,51.98,100,100,5.75
178,Lac Du Bonnet,CA,2022-06-27 12:45:14,50.2536,-96.0612,59.94,84,5,8.93
179,Monte Azul,BR,2022-06-27 12:45:15,-15.155,-42.8747,66.78,63,100,9.64
180,Rawson,AR,2022-06-27 12:45:15,-43.3002,-65.1023,46.89,35,100,25.66
181,Shakiso,ET,2022-06-27 12:45:16,5.75,38.9167,69.26,55,100,5.7
182,Kiruna,SE,2022-06-27 12:41:14,67.8557,20.2251,70.72,56,75,5.75
183,Kinablangan,PH,2022-06-27 12:45:16,7.6947,126.5503,78.57,89,94,7.96
184,Kefamenanu,ID,2022-06-27 12:45:17,-9.4467,124.4781,69.82,87,95,4.0
185,Jumla,NP,2022-06-27 12:45:17,29.2747,82.1838,66.24,94,100,3.13
186,Luderitz,NA,2022-06-27 12:45:18,-26.6481,15.1594,82.65,27,0,18.99
187,Bathsheba,BB,2022-06-27 12:46:18,13.2167,-59.5167,83.01,78,20,12.66
188,Kachug,RU,2022-06-27 12:46:19,53.9606,105.8817,72.5,59,24,1.68
189,Ustye,RU,2022-06-27 12:46:19,59.6304,39.736,75.0,57,83,10.02
190,Faanui,PF,2022-06-27 12:46:19,-16.4833,-151.75,79.83,72,11,18.14
191,Vernon,CA,2022-06-27 12:43:45,50.2581,-119.2691,60.44,66,100,4.61
192,Meulaboh,ID,2022-06-27 12:46:20,4.1363,96.1285,77.95,88,100,6.35
193,Salalah,OM,2022-06-27 12:43:41,17.0151,54.0924,86.09,84,100,12.66
194,San Cristobal,VE,2022-06-27 12:46:20,7.7669,-72.225,68.18,57,15,3.18
195,Grudziadz,PL,2022-06-27 12:46:21,53.4841,18.7537,89.76,38,100,11.16
196,Rajec,SK,2022-06-27 12:46:21,49.089,18.6401,86.11,40,20,8.05
197,Lerwick,GB,2022-06-27 12:46:21,60.1545,-1.1494,57.2,85,100,16.17
198,Maneadero,MX,2022-06-27 12:46:22,31.7167,-116.5667,64.09,89,0,1.68
199,Qaanaaq,GL,2022-06-27 12:46:22,77.484,-69.3632,42.94,73,100,2.51
200,Andenes,NO,2022-06-27 12:46:23,69.3143,16.1194,73.38,60,56,8.05
201,Patancheru,IN,2022-06-27 12:46:23,17.5314,78.265,81.46,80,93,10.42
202,Koslan,RU,2022-06-27 12:46:23,63.4564,48.8989,47.37,58,100,9.6
203,Buala,SB,2022-06-27 12:46:24,-8.145,159.5921,79.27,86,93,7.27
204,Severo-Kurilsk,RU,2022-06-27 12:46:24,50.6789,156.125,46.6,98,100,10.56
205,Bowen,AU,2022-06-27 12:46:25,-20.0167,148.2333,66.38,84,23,11.9
206,Duluth,US,2022-06-27 12:45:51,46.7833,-92.1066,59.34,82,0,3.44
207,Pisco,PE,2022-06-27 12:46:25,-13.7,-76.2167,53.65,87,79,4.61
208,Nsanje,MW,2022-06-27 12:46:25,-16.92,35.262,67.41,84,100,3.0
209,Muros,ES,2022-06-27 12:46:26,42.7762,-9.0603,71.17,58,95,15.77
210,Cabo San Lucas,MX,2022-06-27 12:46:26,22.8909,-109.9124,77.5,88,100,5.26
211,Lethem,GY,2022-06-27 12:46:26,3.3803,-59.7968,75.25,100,100,11.5
212,Aizpute,LV,2022-06-27 12:46:27,56.7167,21.6,85.23,56,95,5.55
213,Nikolskoye,RU,2022-06-27 12:46:27,59.7035,30.7861,89.87,34,6,7.85
214,Benguela,AO,2022-06-27 12:46:27,-12.5763,13.4055,78.15,63,20,10.49
215,Longyearbyen,SJ,2022-06-27 12:46:28,78.2186,15.6401,44.44,76,75,14.97
216,Labytnangi,RU,2022-06-27 12:46:28,66.6572,66.4183,57.09,42,100,20.15
217,Wum,CM,2022-06-27 12:46:28,6.3833,10.0667,70.03,93,100,3.56
218,Puro,PH,2022-06-27 12:46:29,12.4841,123.3827,80.31,83,100,7.34
219,Jimma,ET,2022-06-27 12:46:29,7.6667,36.8333,68.59,83,100,3.38
220,Sumbe,AO,2022-06-27 12:46:29,-11.2061,13.8437,76.51,70,15,11.54
221,Tateyama,JP,2022-06-27 12:46:30,34.9833,139.8667,78.1,91,49,18.52
222,Iquitos,PE,2022-06-27 12:46:30,-3.7481,-73.2472,71.64,94,75,1.14
223,Urengoy,RU,2022-06-27 12:46:30,65.9667,78.3667,67.98,49,100,11.07
224,Saint Anthony,US,2022-06-27 12:46:31,45.0205,-93.218,64.94,77,0,3.44
225,Katsuura,JP,2022-06-27 12:46:31,35.1333,140.3,75.18,92,13,13.11
226,San Patricio,US,2022-06-27 12:46:31,28.017,-97.5169,82.83,84,91,2.21
227,Skibbereen,IE,2022-06-27 12:46:32,51.55,-9.2667,55.11,78,100,18.7
228,Batemans Bay,AU,2022-06-27 12:45:03,-35.7167,150.1833,51.1,77,12,7.11
229,Bilma,NE,2022-06-27 12:46:32,18.6853,12.9164,109.17,7,7,7.78
230,Pacifica,US,2022-06-27 12:46:32,37.6138,-122.4869,60.22,95,100,8.05
231,At-Bashi,KG,2022-06-27 12:46:33,41.1702,75.8106,74.93,36,35,5.75
232,Ancud,CL,2022-06-27 12:46:33,-41.8697,-73.8203,45.23,84,100,11.01
233,La Sarre,CA,2022-06-27 12:43:51,48.8002,-79.1996,48.18,94,100,12.68
234,Bad Neuenahr-Ahrweiler,DE,2022-06-27 12:47:33,50.55,7.1,71.49,72,89,3.0
235,Mehamn,NO,2022-06-27 12:47:34,71.0357,27.8492,66.15,42,0,18.41
236,Genhe,CN,2022-06-27 12:47:34,50.7833,121.5167,63.0,69,14,3.0
237,San Quintin,MX,2022-06-27 12:44:14,30.4833,-115.95,69.13,76,0,3.47
238,Mogadouro,PT,2022-06-27 12:47:13,41.3403,-6.7119,73.31,27,4,4.97
239,Genthin,DE,2022-06-27 12:47:35,52.4,12.1667,93.06,30,79,7.78
240,Klaksvik,FO,2022-06-27 12:47:35,62.2266,-6.589,52.72,96,99,25.05
241,San Nicolas,PH,2022-06-27 12:47:36,18.1725,120.5953,78.71,100,75,4.61
242,Carnarvon,AU,2022-06-27 12:47:36,-24.8667,113.6333,70.66,47,0,12.46
243,Songjianghe,CN,2022-06-27 12:47:36,42.1859,127.479,63.7,99,100,6.53
244,Viedma,AR,2022-06-27 12:47:37,-40.8135,-62.9967,46.04,62,2,17.25
245,Batagay-Alyta,RU,2022-06-27 12:47:37,67.8006,130.4114,34.47,95,100,3.24
246,Morro Bay,US,2022-06-27 12:47:37,35.3658,-120.8499,63.14,11,0,0.89
247,Pevek,RU,2022-06-27 12:47:38,69.7008,170.3133,33.1,78,10,6.29
248,Male,MV,2022-06-27 12:47:38,4.1748,73.5089,85.95,74,75,14.97
249,Solaro,IT,2022-06-27 12:47:38,44.8799,9.1732,91.4,50,0,1.99
250,Waingapu,ID,2022-06-27 12:47:39,-9.6567,120.2641,75.67,72,93,11.92
251,Haines Junction,CA,2022-06-27 12:47:39,60.7522,-137.5108,48.15,71,75,0.0
252,Sosnytsya,UA,2022-06-27 12:47:39,51.5239,32.4999,83.73,51,11,8.79
253,Merauke,ID,2022-06-27 12:47:40,-8.4667,140.3333,77.83,90,100,10.16
254,San Pedro,PH,2022-06-27 12:47:40,14.35,121.0167,81.36,84,75,3.44
255,Shingu,JP,2022-06-27 12:47:42,33.7333,135.9833,74.75,93,4,6.15
256,Kholodnyy,RU,2022-06-27 12:47:42,62.7167,147.95,65.7,60,28,7.63
257,Victoria,HK,2022-06-27 12:47:42,22.2855,114.1577,87.33,74,97,11.99
258,Lodja,CD,2022-06-27 12:47:43,-3.4833,23.4333,96.71,19,5,5.03
259,Itoman,JP,2022-06-27 12:47:43,26.1247,127.6694,86.77,87,20,11.5
260,Sembe,CG,2022-06-27 12:47:43,1.6481,14.5806,83.93,62,83,1.32
261,Jining,CN,2022-06-27 12:47:43,35.405,116.5814,77.27,90,100,6.42
262,Daru,PG,2022-06-27 12:47:44,-9.0763,143.2092,78.66,90,100,14.88
263,Leningradskiy,RU,2022-06-27 12:47:44,69.3833,178.4167,37.89,91,3,7.2
264,Kondoa,TZ,2022-06-27 12:47:45,-4.9,35.7833,72.99,39,100,9.24
265,Lompoc,US,2022-06-27 12:47:45,34.6391,-120.4579,55.85,97,100,1.01
266,Mantua,IT,2022-06-27 12:47:45,45.1667,10.7833,94.33,44,0,7.0
267,Kastamonu,TR,2022-06-27 12:47:46,41.5,33.6667,59.02,97,100,4.43
268,Graaff-Reinet,ZA,2022-06-27 12:47:46,-32.2522,24.5308,63.91,57,0,3.85
269,Lichtenburg,ZA,2022-06-27 12:47:46,-26.152,26.1597,60.3,21,0,12.95
270,Ribas Do Rio Pardo,BR,2022-06-27 12:47:47,-20.4431,-53.7592,69.75,59,6,10.56
271,Salto Del Guaira,PY,2022-06-27 12:47:47,-24.0625,-54.3069,65.12,72,20,10.25
272,Doha,QA,2022-06-27 12:44:01,25.2867,51.5333,103.98,13,0,29.93
273,Waipawa,NZ,2022-06-27 12:47:47,-41.4122,175.5153,46.42,88,99,4.61
274,Nelson Bay,AU,2022-06-27 12:47:48,-32.7167,152.15,53.11,93,91,14.0
275,Terme,TR,2022-06-27 12:47:48,41.2092,36.9739,76.93,72,99,7.11
276,Plouzane,FR,2022-06-27 12:47:49,48.3833,-4.6167,66.38,55,75,11.5
277,Ewa Beach,US,2022-06-27 12:48:49,21.3156,-158.0072,75.15,71,0,3.44
278,Norman Wells,CA,2022-06-27 12:48:49,65.282,-126.8329,50.04,81,20,4.61
279,Kabalo,CD,2022-06-27 12:48:50,-6.05,26.9167,90.68,23,6,8.14
280,Bambous Virieux,MU,2022-06-27 12:48:50,-20.3428,57.7575,76.21,64,40,9.22
281,Ilulissat,GL,2022-06-27 12:48:50,69.2167,-51.1,44.62,81,75,5.75
282,Sikasso,ML,2022-06-27 12:48:51,10.9167,-7.0,95.38,40,83,2.75
283,Samoded,RU,2022-06-27 12:48:51,63.6083,40.5111,63.86,36,13,8.43
284,Moose Factory,CA,2022-06-27 12:48:51,51.2585,-80.6094,48.2,87,100,11.5
