City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Skjervoy,NO,70.0311,20.9714,60.8,83,100,0.98,light rain
139,Bose,IT,45.4612,8.0137,91.15,54,0,3.4,clear sky
140,Homer,US,59.6425,-151.5483,55.8,89,16,3.0,few clouds
141,Visby,SE,57.6409,18.296,70.05,49,0,13.8,clear sky
142,Nome,US,64.5011,-165.4064,52.16,87,100,10.36,light rain
143,Saint-Philippe,RE,-21.3585,55.7679,69.39,74,65,12.03,broken clouds
144,Urubicha,BO,-15.3833,-62.95,88.16,34,2,6.42,clear sky
145,Tuktoyaktuk,CA,69.4541,-133.0374,51.67,74,2,5.23,clear sky
146,Baruun-Urt,MN,46.6806,113.2792,63.9,49,27,3.74,scattered clouds
147,Saint-Pierre,RE,-21.3393,55.4781,69.91,67,20,14.97,few clouds
148,Maryborough,AU,-25.5333,152.7,54.1,77,0,5.39,clear sky
149,Port Hardy,CA,50.6996,-127.4199,55.67,93,100,2.82,light rain
150,Maceio,BR,-9.6658,-35.7353,80.04,78,75,13.8,broken clouds
151,Mount Gambier,AU,-37.8333,140.7667,47.46,82,32,5.32,scattered clouds
152,Ahipara,NZ,-35.1667,173.1667,56.19,92,100,6.98,overcast clouds
153,Bakchar,RU,57.0186,82.0711,60.49,94,95,4.27,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,51.85,79,100,10.74,overcast clouds
155,Strezhevoy,RU,60.7333,77.5889,65.91,57,77,4.43,broken clouds
156,Bojnurd,IR,37.4747,57.329,77.13,25,0,14.41,clear sky
157,Bangad,PH,15.5036,121.0275,77.79,89,99,2.62,overcast clouds
158,Deputatskiy,RU,69.3,139.9,41.23,90,100,4.43,overcast clouds
159,Touros,BR,-5.1989,-35.4608,83.59,64,19,17.83,few clouds
160,Atasu,KZ,48.6814,71.6433,65.73,54,89,3.74,overcast clouds
161,Mbini,GQ,1.574,9.6134,77.05,81,88,9.84,overcast clouds
162,Namwala,ZM,-15.7504,26.4384,75.69,25,12,4.12,few clouds
163,Manta,EC,-0.95,-80.7333,74.1,77,95,8.03,overcast clouds
164,Puerto Palomas,MX,31.7667,-107.6167,80.53,36,90,15.08,overcast clouds
165,Cuauhtemoc,MX,28.4167,-106.8667,67.62,58,99,2.62,overcast clouds
166,Shubarshi,KZ,48.5872,57.1869,67.1,40,61,15.79,broken clouds
167,Shingu,JP,33.7333,135.9833,75.2,89,0,4.61,clear sky
168,Nikolskoye,RU,59.7035,30.7861,72.79,48,100,5.53,overcast clouds
169,Flinders,AU,-34.5833,150.8552,59.18,91,100,3.0,light rain
170,Hay River,CA,60.8156,-115.7999,66.22,45,54,5.12,broken clouds
171,Ambatofinandrahana,MG,-20.55,46.8,57.81,51,0,4.43,clear sky
172,Cabedelo,BR,-6.9811,-34.8339,84.87,70,3,14.25,clear sky
173,Hami,CN,42.8,93.45,82.38,24,40,21.7,scattered clouds
174,Hornostayivka,UA,47.0078,33.729,87.87,39,71,17.31,broken clouds
175,Hvide Sande,DK,56.0045,8.1294,62.1,82,75,13.8,broken clouds
176,Lata,PT,40.1629,-8.3327,86.07,52,0,10.13,clear sky
177,Majdanpek,RS,44.4277,21.946,79.02,41,19,12.8,few clouds
178,Lubango,AO,-14.9172,13.4925,74.25,20,5,5.44,clear sky
179,Baiquan,CN,47.5833,126.0833,71.1,96,100,8.46,moderate rain
180,Lima,PE,-12.0432,-77.0282,60.91,88,100,4.61,overcast clouds
181,Rocha,UY,-34.4833,-54.3333,60.55,73,100,14.25,overcast clouds
182,Cape Girardeau,US,37.3834,-89.7168,88.81,56,21,7.78,few clouds
183,Kassala,SD,15.451,36.4,98.28,26,67,10.29,broken clouds
184,Cherskiy,RU,68.75,161.3,39.31,82,100,8.77,overcast clouds
185,Nouakchott,MR,18.0858,-15.9785,82.33,74,7,13.29,clear sky
186,Cap Malheureux,MU,-19.9842,57.6142,68.47,67,43,1.99,scattered clouds
187,Nago,JP,26.5881,127.9761,81.03,91,94,7.96,overcast clouds
188,Tessalit,ML,20.1986,1.0114,104.65,14,34,4.65,scattered clouds
189,Ayagoz,KZ,47.9714,80.4392,71.06,31,32,5.1,scattered clouds
190,Padang,ID,-0.9492,100.3543,79.29,86,48,3.71,scattered clouds
191,Virginia Beach,US,36.8529,-75.978,89.02,66,22,1.01,few clouds
192,Aksu,CN,41.1231,80.2644,88.23,22,36,7.74,scattered clouds
193,Lamar,US,33.6668,-95.5836,92.98,51,0,11.5,clear sky
194,Gat,IL,31.61,34.7642,87.4,42,0,12.19,clear sky
195,Beauchamps,FR,50.012,1.5176,71.31,59,65,12.33,broken clouds
196,Port Hedland,AU,-20.3167,118.5667,51.85,58,6,6.91,clear sky
197,Batagay-Alyta,RU,67.8006,130.4114,48.96,85,100,1.59,overcast clouds
198,Wawa,NG,9.9022,4.4192,86.76,54,97,1.45,overcast clouds
199,Pembroke,CA,45.8168,-77.1162,64.18,72,40,6.26,scattered clouds
200,Thompson,CA,55.7435,-97.8558,66.6,33,100,6.17,overcast clouds
201,Boyolangu,ID,-8.1181,111.8935,74.88,91,96,3.4,overcast clouds
202,Ouesso,CG,1.6136,16.0517,87.82,51,53,3.96,broken clouds
203,Baraboo,US,43.4711,-89.7443,75.34,88,100,6.91,overcast clouds
204,Bonthe,SL,7.5264,-12.505,82.11,70,77,10.0,broken clouds
205,Pangnirtung,CA,66.1451,-65.7125,48.31,68,37,5.57,scattered clouds
206,Hobyo,SO,5.3505,48.5268,77.85,77,91,30.0,overcast clouds
207,Komsomolskiy,UZ,40.4272,71.7189,86.72,25,0,4.61,clear sky
208,Juneau,US,58.3019,-134.4197,61.84,93,100,4.61,overcast clouds
209,Narasannapeta,IN,18.4167,84.05,81.91,86,99,8.72,overcast clouds
210,Walvis Bay,NA,-22.9575,14.5053,77.95,31,0,13.8,clear sky
211,Cidreira,BR,-30.1811,-50.2056,66.34,86,100,11.79,overcast clouds
212,Limbang,MY,4.75,115.0,77.11,95,99,2.77,overcast clouds
213,Lumeje,AO,-11.55,20.7833,81.37,21,25,6.26,scattered clouds
214,Port Elizabeth,ZA,-33.918,25.5701,68.09,79,30,7.0,scattered clouds
215,Umm Lajj,SA,25.0213,37.2685,91.8,41,2,11.99,clear sky
216,Guerrero Negro,MX,27.9769,-114.0611,68.05,75,99,13.47,overcast clouds
217,Rumboci,BA,43.8322,17.5011,76.57,39,2,9.19,clear sky
218,Omboue,GA,-1.5746,9.2618,75.94,71,77,11.18,broken clouds
219,Jaciara,BR,-15.9653,-54.9683,87.49,19,4,8.75,clear sky
220,Bilibino,RU,68.0546,166.4372,48.2,88,100,0.69,overcast clouds
221,Nchelenge,ZM,-9.3451,28.734,75.16,44,16,7.36,few clouds
222,Port Moresby,PG,-9.4431,147.1797,76.14,88,100,5.01,overcast clouds
223,Ostrovnoy,RU,68.0531,39.5131,66.92,58,68,15.3,light rain
224,Qostanay,KZ,53.1667,63.5833,70.09,40,75,6.71,broken clouds
225,Pochutla,MX,15.7432,-96.4661,82.81,70,100,4.29,overcast clouds
226,Coquimbo,CL,-29.9533,-71.3436,55.13,66,0,3.44,clear sky
227,Axim,GH,4.8699,-2.2405,79.59,79,98,10.29,light rain
228,Winton,US,37.3894,-120.6133,66.11,72,0,16.11,clear sky
229,San Rafael,AR,-34.6177,-68.3301,58.42,19,61,9.55,broken clouds
230,Butterworth,MY,5.3991,100.3638,84.99,78,20,0.0,few clouds
231,Acapulco,MX,16.8634,-99.8901,85.82,66,100,3.44,overcast clouds
232,Longyearbyen,SJ,78.2186,15.6401,44.44,61,75,14.97,broken clouds
233,Gazojak,TM,41.1875,61.4036,83.21,19,0,16.67,clear sky
234,Vazante,BR,-17.9869,-46.9078,78.31,34,0,8.93,clear sky
235,Miles City,US,46.4083,-105.8406,74.37,73,0,5.75,clear sky
236,Birjand,IR,32.8663,59.2211,82.35,19,0,13.27,clear sky
237,Steinbach,DE,50.1667,8.5667,77.61,35,0,12.66,clear sky
238,Cayce,US,33.9657,-81.074,90.54,79,75,5.75,broken clouds
239,Poum,NC,-20.2333,164.0167,77.7,80,100,19.95,overcast clouds
240,Broken Hill,AU,-31.95,141.4333,44.6,70,0,9.31,clear sky
241,Kulu,TR,39.0951,33.0799,81.81,22,0,10.18,clear sky
242,Mopti,ML,14.6667,-4.0,100.47,24,48,4.94,scattered clouds
243,Sivas,TR,39.7916,37.0019,75.83,49,20,14.97,few clouds
244,Yatou,CN,37.15,122.3833,75.52,96,100,16.73,overcast clouds
245,Luba,GQ,3.4568,8.5547,77.25,90,80,7.34,light rain
246,Naze,JP,28.3667,129.4833,77.34,90,98,7.38,overcast clouds
247,Yeppoon,AU,-23.1333,150.7333,47.98,76,0,5.55,clear sky
248,Biak,ID,-0.9131,122.8766,75.92,87,100,4.63,overcast clouds
249,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,0,5.75,clear sky
250,Magan,ES,39.9683,-3.931,93.31,21,0,7.2,clear sky
251,Griffith,US,41.5284,-87.4237,79.39,87,75,10.36,broken clouds
252,Conde,BR,-7.2597,-34.9075,81.86,69,75,16.11,broken clouds
253,Andenes,NO,69.3143,16.1194,57.92,76,75,13.8,broken clouds
254,Marmande,FR,44.5,0.1667,84.51,41,32,11.86,scattered clouds
255,Bloomfield,US,40.8068,-74.1854,85.8,62,0,13.8,clear sky
256,Barrow,US,71.2906,-156.7887,42.82,87,100,0.0,mist
257,Ucluelet,CA,48.9329,-125.5528,58.08,93,97,0.25,overcast clouds
258,Tshela,CD,-4.9833,12.9333,88.88,36,92,4.45,overcast clouds
259,Hovd,MN,48.0056,91.6419,65.14,29,1,11.03,clear sky
260,Rafaela,AR,-31.2503,-61.4867,57.0,75,100,5.01,overcast clouds
261,Sault Sainte Marie,CA,46.5168,-84.3333,62.89,72,75,4.61,broken clouds
262,Marystown,CA,47.1666,-55.1483,65.86,100,100,5.99,overcast clouds
263,Neiafu,TO,-18.65,-173.9833,77.31,71,35,17.6,scattered clouds
264,Shitanjing,CN,39.2342,106.3439,83.55,17,0,6.91,clear sky
265,Imeni Poliny Osipenko,RU,52.4201,136.4853,73.22,82,36,8.55,scattered clouds
266,Shishou,CN,29.7226,112.419,78.75,88,3,4.63,clear sky
267,Chokurdakh,RU,70.6333,147.9167,46.22,58,99,9.98,overcast clouds
268,Phetchabun,TH,16.25,101.0833,79.2,89,100,0.58,moderate rain
269,Olinda,BR,-8.0089,-34.8553,80.33,83,40,14.97,scattered clouds
270,Hualmay,PE,-11.0964,-77.6139,63.57,77,52,6.51,broken clouds
271,Ende,ID,-8.8432,121.6623,70.92,79,26,4.16,scattered clouds
272,Gazli,UZ,40.1333,63.45,89.01,17,0,17.94,clear sky
273,Utete,TZ,-7.986,38.758,78.66,58,24,11.65,few clouds
274,Rawlins,US,41.7911,-107.2387,66.09,48,75,4.61,broken clouds
275,Forio,IT,40.7342,13.8646,91.69,60,1,10.0,clear sky
276,Jacmel,HT,18.2342,-72.5347,87.64,65,5,6.62,clear sky
277,Salug,PH,8.1147,122.7833,78.62,90,100,4.29,overcast clouds
278,Tuatapere,NZ,-46.1333,167.6833,39.27,88,58,3.56,broken clouds
279,Bossangoa,CF,6.4926,17.4552,83.12,65,54,6.04,broken clouds
280,Adrar,MR,20.5022,-10.0711,111.47,6,23,7.09,few clouds
281,Severodvinsk,RU,64.5635,39.8302,66.31,62,45,4.81,scattered clouds
282,Mogadishu,SO,2.0371,45.3438,77.27,80,30,22.15,scattered clouds
283,Akranes,IS,64.3218,-22.0749,55.96,83,96,5.14,overcast clouds
284,Kieta,PG,-6.2167,155.6333,78.53,83,86,7.07,light rain
285,Taltal,CL,-25.4,-70.4833,62.28,62,99,2.66,overcast clouds
286,Salina Cruz,MX,16.1667,-95.2,85.05,61,59,11.16,broken clouds
287,Matay,EG,28.419,30.7792,98.98,13,0,10.67,clear sky
288,Tigil,RU,57.8,158.6667,49.73,91,84,3.22,broken clouds
289,Lugovoy,KZ,42.9472,72.7644,74.86,36,7,2.19,clear sky
290,Kaabong,UG,3.4836,34.1492,66.81,73,100,2.46,light rain
291,Sao Filipe,CV,14.8961,-24.4956,76.84,83,50,10.87,scattered clouds
292,Henties Bay,NA,-22.116,14.2845,61.02,70,0,13.94,clear sky
293,Saskylakh,RU,71.9167,114.0833,54.3,63,100,2.57,overcast clouds
294,Monster,NL,52.0258,4.175,70.99,66,100,13.8,overcast clouds
295,Channel-Port Aux Basques,CA,47.5702,-59.1367,57.24,97,100,17.2,moderate rain
296,Kholm-Zhirkovskiy,RU,55.5189,33.4731,74.01,75,95,7.47,light rain
297,Yumen,CN,40.2833,97.2,76.84,24,100,12.35,overcast clouds
298,Kashi,CN,39.4547,75.9797,93.25,14,3,11.34,clear sky
299,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,100,8.05,overcast clouds
300,Lanigan,CA,51.8501,-105.0344,60.4,82,55,5.99,broken clouds
301,Caravelas,BR,-17.7125,-39.2481,76.46,68,48,7.25,scattered clouds
302,Dukat,RU,62.55,155.55,57.76,89,66,7.7,broken clouds
303,Hamilton,US,39.1834,-84.5333,87.89,78,40,12.66,scattered clouds
304,Chara,RU,56.9064,118.2631,58.3,93,100,4.9,moderate rain
305,Clyde River,CA,70.4692,-68.5914,45.09,60,0,6.38,clear sky
306,Morondava,MG,-20.2833,44.2833,74.77,67,0,14.52,clear sky
307,Komatipoort,ZA,-25.4332,31.9548,73.24,48,0,5.19,clear sky
308,Arona,ES,28.0996,-16.681,78.91,78,20,27.63,few clouds
309,Cabo San Lucas,MX,22.8909,-109.9124,85.6,62,16,7.9,few clouds
310,Calafell,ES,41.2,1.5683,90.36,52,31,11.63,scattered clouds
311,Bridlington,GB,54.0831,-0.1919,70.9,78,100,20.78,overcast clouds
312,Ayan,RU,56.45,138.1667,59.14,94,22,0.67,few clouds
313,Ilabaya,PE,-17.4208,-70.5133,73.56,25,35,5.53,scattered clouds
314,La Ronge,CA,55.1001,-105.2842,58.15,71,21,2.84,few clouds
315,Suntar,RU,62.1444,117.6319,58.46,93,100,3.4,overcast clouds
316,Quang Ngai,VN,15.1167,108.8,78.44,94,100,6.49,light rain
317,Roblin,CA,51.23,-101.3565,61.84,90,81,5.75,broken clouds
318,Camabatela,AO,-8.1881,15.375,85.17,15,7,3.42,clear sky
319,Roebourne,AU,-20.7833,117.1333,63.64,39,5,5.3,clear sky
320,Trincomalee,LK,8.5711,81.2335,83.17,73,100,11.77,light rain
321,Khatanga,RU,71.9667,102.5,57.61,49,99,3.04,overcast clouds
322,Vechelde,DE,52.2604,10.3649,71.8,41,0,11.5,clear sky
323,Gasa,PS,31.5,34.4667,87.87,58,0,11.68,clear sky
324,Ilulissat,GL,69.2167,-51.1,51.82,66,75,5.75,broken clouds
325,Lagoa,PT,39.05,-27.9833,66.2,79,100,13.47,overcast clouds
326,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,73,100,11.12,overcast clouds
327,Uga,NG,5.9358,7.0793,83.01,67,98,4.41,light rain
328,Bilma,NE,18.6853,12.9164,104.83,8,0,10.56,clear sky
329,Marsaxlokk,MT,35.8419,14.5431,97.41,30,0,5.75,clear sky
330,Vinces,EC,-1.55,-79.7333,78.26,64,74,3.22,broken clouds
331,Vanavara,RU,60.34,102.2797,59.18,76,66,3.71,broken clouds
332,Leningradskiy,RU,69.3833,178.4167,39.54,87,99,12.41,overcast clouds
333,Nouadhibou,MR,20.931,-17.0347,73.09,69,0,23.26,clear sky
334,Springdale,US,36.1867,-94.1288,90.57,60,0,13.8,clear sky
335,Imbituba,BR,-28.24,-48.6703,68.09,89,100,5.99,overcast clouds
336,Hambantota,LK,6.1241,81.1185,86.34,66,75,13.8,broken clouds
337,Fairbanks,US,64.8378,-147.7164,63.82,87,75,3.44,smoke
338,Salalah,OM,17.0151,54.0924,78.89,94,100,5.75,light intensity drizzle
339,Reconquista,AR,-29.15,-59.65,67.42,81,100,6.46,overcast clouds
340,Marsa Matruh,EG,31.3525,27.2453,82.09,54,0,14.56,clear sky
341,Chengde,CN,40.9725,117.9361,68.22,93,1,2.86,clear sky
342,Vilyuysk,RU,63.7553,121.6247,57.6,79,100,4.09,overcast clouds
343,Jacareacanga,BR,-6.2222,-57.7528,90.1,42,47,3.69,scattered clouds
344,Cayenne,GF,4.9333,-52.3333,86.04,66,75,5.75,broken clouds
345,Sangmelima,CM,2.9333,11.9833,75.4,81,48,2.59,moderate rain
346,Fereydunshahr,IR,32.941,50.121,77.97,19,20,0.76,few clouds
347,Lazaro Cardenas,MX,17.9583,-102.2,81.07,72,82,3.47,broken clouds
348,Limon,CR,10.0,-83.0333,82.29,78,0,4.61,clear sky
