City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Namibe,AO,70.23,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
655,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
662,Myitkyina,MM,79.45,broken clouds,25.3833,97.4,Shwe Phyu Hotel
665,Kiomboi,TZ,78.48,broken clouds,-4.2667,34.3667,Noah DS Site
666,Kirundo,BI,76.82,overcast clouds,-2.5833,30.1667,gihosha avenue du saint esprit
671,Takoradi,GH,79.38,light rain,4.8845,-1.7554,Raybow International Hotel
674,Maidstone,GB,75.87,overcast clouds,51.2667,0.5167,Grange Moor Hotel
677,Payo,ID,73.44,light rain,-3.7508,103.6372,Mess keban agung
680,Marsabit,KE,75.76,scattered clouds,2.3284,37.9899,Chicho Hotel
682,North Branch,US,71.58,broken clouds,45.5113,-92.9802,AmericInn by Wyndham North Branch
685,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Pirineos
687,Mitsamiouli,KM,76.66,scattered clouds,-11.3847,43.2844,Foyer ADM
689,Chichester,GB,76.05,overcast clouds,50.8367,-0.78,The Vestry
690,Harihar,IN,72.99,overcast clouds,14.5167,75.8,Azaam Dadapeer Palmbar
